Id_station;Id_omm;Nom_usuel;Latitude;Longitude;Altitude;Date_ouverture;Pack
98511001;;MAMOUDZOU_SAPC;-12.778500;45.226000;65;1993-01-01;ETENDU
98511003;;VAHIBE_SAPC;-12.795000;45.167167;222;2003-06-20;ETENDU
98512001;;MTZAMBORO;-12.684167;45.074333;75;1991-01-01;ETENDU
98514001;;COCONI OUANGANI;-12.831000;45.132667;96;1935-01-01;RADOME
98611001;91754;MAOPOOPO;-14.308333;-178.116667;35;1977-10-01;RADOME
98613001;91753;HIHIFO;-13.239833;-176.194167;30;1971-01-01;RADOME
98711002;91933;ANAA1;-17.357000;-145.508333;3;2012-12-11;RADOME
98712001;;TETIAROA 1;-17.014333;-149.585500;2;1975-09-01;RADOME
98714002;91929;BORA-BORA-MOTU-AERO;-16.445167;-151.752000;3;1976-01-01;RADOME
98715002;91938;FAAA;-17.555167;-149.614333;2;1957-07-01;RADOME
98719005;91948;MANGAREVA;-23.130167;-134.965333;91;1980-04-01;RADOME
98720002;91944;HAO AERO;-18.063000;-140.961167;5;1962-02-01;RADOME
98722026;;HITIAA 5;-17.601333;-149.301833;3;2018-05-28;RADOME
98723001;91925;HIVA-OA;-9.806000;-139.035667;51;1930-05-01;RADOME
98725008;;MAHINA 8;-17.506167;-149.483333;10;2015-06-30;RADOME
98725010;;MAHINA 9;-17.525500;-149.492667;278;2022-08-29;ETENDU
98729003;;PAOPAO 1;-17.523333;-149.811667;100;1959-11-01;ETENDU
98729010;;PAPETOAI 4;-17.521167;-149.849167;17;1993-12-01;ETENDU
98729015;;HAAPITI5;-17.533000;-149.900167;15;2011-11-01;RADOME
98731007;91921;NUKUATAHA AERO;-8.793500;-140.220667;64;1978-01-01;ETENDU
98734007;;PAPARA 7;-17.774833;-149.460833;8;2015-06-25;RADOME
98734009;;PAPARA 8;-17.748500;-149.562500;1;2019-08-26;RADOME
98736001;;PIRAE 1;-17.539833;-149.535667;34;1948-08-01;ETENDU
98738006;;PUNAAUIA 6;-17.634333;-149.598167;10;1997-05-01;ETENDU
98739003;;RAIRUA 1;-23.880833;-147.660000;1;2023-08-21;ETENDU
98740002;91941;RANGIROA AERO;-14.955667;-147.659500;7;1951-08-01;ETENDU
98741001;91958;RAPA;-27.618333;-144.334833;2;1937-01-01;RADOME
98743003;;MOORERE;-22.638000;-152.804500;17;2012-12-01;RADOME
98747011;91936;TAIARAPU-EST;-17.745667;-149.158833;2;1968-06-01;RADOME
98747016;;AFAAHITI 7;-17.749000;-149.292000;120;2015-06-25;RADOME
98748001;;VAIRAO 1;-17.805500;-149.293167;2;1948-09-01;RADOME
